state_fips,fips_list,group
46,46077|46079,13
46,46085|46075|46117|46059|46069|46065,14
46,46091|46013,15
46,46101|46099,16
46,46105|46093,17
46,46111|46003|46073|46035,18
46,46115|46005,19
46,46121|46123,20
46,46125|46135,21
47,47027|47087,1
47,47067|47073,2
47,47083|47161,3
47,47095|47045,4
47,47127|47003,5
47,47135|47039,6
47,47137|47049,7
47,47169|47111,8
47,47175|47185,9
48,48009|48485,1
48,48011|48065|48233,2
48,48017|48079,3
48,48023|48447|48275|48207,4
48,48043|48377,5
48,48045|48153|48345|48107,6
48,48047|48247,7
48,48069|48279,8
48,48081|48353,9
48,48083|48049,10
48,48095|48327|48307,11
48,48103|48135,12
48,48105|48383|48235|48461,13
48,48109|48243|48389,14
48,48111|48205,15
48,48119|48223,16
48,48125|48263|48169|48415,17
48,48137|48385|48463,18
48,48151|48433|48253,19
48,48173|48033|48227,20
48,48175|48025,21
48,48191|48101|48269|48155|48197|48075|48087,22
48,48193|48099,23
48,48195|48421|48341,24
48,48229|48141,25
48,48237|48363,26
48,48261|48489,27
48,48267|48319|48265,28
48,48271|48323,29
48,48283|48163,30
48,48295|48357,31
48,48301|48495|48475,32
48,48305|48303,33
48,48311|48297,34
48,48317|48115,35
48,48333|48411,36
48,48335|48431,37
48,48369|48359|48117,38
48,48391|48007,39
48,48393|48211|48483|48129|48179,40
48,48405|48403,41
48,48413|48435|48451,42
48,48417|48059,43
48,48425|48221,44
48,48429|48133,45
48,48437|48381,46
48,48443|48371,47
48,48501|48165,48
49,49001|49021,1
49,49009|49047,2
49,49019|49015,3
49,49025|49031|49017|49055|49041,4
49,49033|49005,5
50,50009|50005,1
50,50013|50011,2
51,51017|51091|51163,1
51,51021|51197,2
51,51036|51127,3
51,51045|51161,4
51,51049|51029,5
51,51097|51101,6
51,51115|51073,7
51,51157|51187,8
51,51159|51193,9
51,51181|51095,10
53,53013|53023|53003,1
53,53019|53065,2
53,53069|53049,3
54,54013|54087,1
54,54015|54067,2
54,54017|54095,3
54,54021|54007,4
54,54073|54085,5
54,54075|54101,6
54,54093|54071|54023,7
54,54105|54107,8
55,55037|55041,1
55,55051|55003,2
55,55078|55115,3
55,55091|55011,4
56,56011|56045,1
56,56017|56013,2
56,56019|56033,3
56,56031|56027|56015,4
56,56035|56023,5
56,56043|56003,6
