date,ak,al,ar,as,az,ca,co,ct,dc,de,fl,ga,gu,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,mp,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vi,vt,wa,wi,wv,wy
2022-05-11,2430.8651646086414,18814.108995149272,15101.44549488543,957.6418050659241,64915.45103114205,377589.7490519559,50626.205314750114,38230.50303955143,9211.456043733033,10005.072861796973,173693.41317007976,55481.09275412983,2394.613979617164,14451.960818108199,22643.89193972075,30585.12272216125,0.0,36199.33722785204,20371.10875696131,22253.115639366264,17512.785767476547,84580.85032439622,57314.150405387554,20884.855140268155,71718.92506948976,61714.15167107307,33449.26614871533,122.01446069721985,12604.790314234377,7478.765468430593,77483.78191104125,34182.56055352655,11117.761647937246,23225.905122151842,72734.10973952727,20547.486179121934,18221.326272614573,158984.73467264872,111903.85343503873,19454.225473505343,47740.24221509002,113617.0980892511,30541.131235643355,11068.01778363312,28894.94149036149,7597.923594029739,38645.44719424224,199344.14984331676,32583.678218525743,78935.00665827324,1112.7580490655766,9328.739198798547,83314.3126615993,52367.90227290116,11246.555441077977,2939.791486818925
2022-05-12,4140.287570693934,18568.099501759465,14505.587821658946,405.80101605367645,63988.71076163933,280516.7766406954,49306.120973988094,38760.88990768153,9292.591092346856,10859.10660729227,152467.0757486918,57117.32309537358,2937.960896916418,14645.62859602751,22267.05795839581,29746.759052835914,0.0,35971.01615378078,19468.745188816487,21128.44848111797,17254.45694932703,70009.31668996226,57937.5958595566,21171.17728271871,71259.4661239725,61734.14415807207,34110.84651204431,91.58004944486198,12398.95114920258,6687.433769179195,78701.966272123,34725.73851928336,15034.048217314834,33161.724219568125,59858.97620889018,21053.097905643262,17776.978518534026,154853.11651254335,109942.81004386643,19275.805716114115,44618.74883403048,116044.76599436277,29898.496032932067,11564.74298645161,29088.50832376105,8625.069682651378,35251.29407840144,196953.70492712597,27222.33973357572,79484.51653001763,1064.687558914202,9305.422988789654,79798.88236828685,51840.88344792123,12470.880463876192,2827.9085566198783
2022-05-13,4199.987226136564,18337.31693962203,15334.432993806058,438.1220761988116,62579.38428821783,279019.24016557407,48958.27328105241,38513.65283254653,9138.545623284022,10744.519232162076,151216.683450356,57080.155964565696,2570.6730785786835,14498.466308859628,22158.395484053624,27993.063002242354,0.0,35619.289226408175,19526.790357954545,20727.39454897743,17715.875777541867,69406.78207583232,62786.39184386791,21411.435487710172,70362.53461284256,61796.157813837235,34007.66529980395,155.60688751637096,11995.62263258904,8326.855587343229,79226.03332488454,3132.391546707801,18345.876344901768,34011.301788816796,60684.74910915626,20422.347116315483,17636.734758869185,148944.68200271783,148886.56122543837,19301.147054071134,43827.30087420523,114137.37760596184,27832.420147723562,11822.518842088391,29193.88174914866,7214.770220472412,35276.6661947734,197340.3701095145,25857.792402577346,77438.61335811118,881.0743911504808,8988.257608773201,78645.62722745442,51572.52627658104,10325.484839247338,2834.6691445110205
2022-05-14,4703.9359575301505,21259.46989803159,15605.033370936926,473.593709418273,62747.80237152626,280297.33823268535,49055.823181672255,38976.96574407377,9358.00696414218,10365.005265162114,150282.35296506705,57256.37552871098,2401.9569023242243,14447.19474096136,22377.238910283417,12128.445017504435,0.0,35086.815370738834,20321.83448469697,21980.991658680243,19226.092913745044,83855.88153868965,65808.90377885979,21167.82107968561,70499.62867956406,60287.54603007275,34318.927845151135,160.24162204554378,12433.067050126814,8034.482103488905,76608.04385851619,3068.6417785063177,15740.771750543616,30039.97146579937,78307.00806442808,21530.134038258955,17849.53353222635,157185.22283068232,149672.63237972575,19577.11313033402,43566.63694332842,105008.11250693808,25019.639111115954,11594.865058011812,29269.979068971552,7093.078768766507,36250.000321985564,195031.3591859855,25081.85302082674,78034.04824391869,711.8633537810779,8872.878282163134,78648.47195753311,48224.88864909875,10232.967918506349,2857.4427721538136
2022-05-15,4998.664391190356,24209.888723118074,15544.88648944345,494.88558583759897,62678.92489008815,281595.5677169279,48823.58329437775,39084.920678038565,9176.994565001929,9895.621115530923,150068.12636847046,56765.58361398898,2436.746243710262,14265.827660427736,22279.32078855889,12243.94120139459,0.0,34558.018005868245,20944.131352746772,23185.70355651236,20736.082296072585,83520.28797293728,68865.76499318377,20787.6861855766,70529.57167961945,58234.10497711594,34427.691736720066,161.46557942004986,12084.33104538018,7991.376798134107,74545.62795189398,2970.8574198735564,11391.552480098875,24122.07988913884,79709.72375795472,21762.27899061417,17835.702334880098,167012.10025861353,150103.08784194788,19668.7486235201,43107.71227284301,96268.34151526332,21799.656420537325,11203.118098866516,29314.43668461116,6786.397583007844,36818.83708887902,192561.72437634112,24234.12852033315,78396.34890457315,581.3730905173832,8636.908905933924,78263.64802639034,44235.46102469638,10059.594181189399,2716.411369076116
2022-05-16,5772.674293580396,28422.207997402773,16024.905551162768,530.9885534092681,63524.42343992428,283316.3035986307,48974.62309765588,39689.408315339584,9922.546318183578,10016.006265062697,152224.42355073534,56999.79130444727,2680.1918625795433,14619.83687284994,22509.27403628915,13257.703188965632,0.0,34272.90878996724,21658.190788373337,24869.245300182167,22650.837662043738,83666.0800275281,72611.92038483695,21125.297499759847,71706.11101233521,56962.99722195171,35031.83482190419,178.68135689992357,12428.587376348385,7888.18795806421,73336.21854408234,2986.8671533312945,6885.217365001244,18093.971097110618,81645.08939105575,22506.234515291522,18273.39965864963,180332.72476729684,150746.75484840598,20167.965348103284,43146.977090631895,87745.8079367668,19652.8699515332,11221.578815892748,29516.774611055796,6837.284040113306,37677.25777879086,190625.940243717,24579.678014188892,79099.73722417616,476.27021850011494,8752.527511066663,78371.97073862182,40765.24272706731,10390.725780313374,2833.1376035962517
2022-05-17,5738.795413949644,28181.55337635824,16161.097611578789,530.8856879455243,59694.89151450547,294355.74066422565,49125.159844349524,39405.94542624151,9552.14167341115,13751.95793411235,159205.60032769945,59481.189905633015,2558.140276749623,16138.711514693261,22604.37255412831,11643.802189548627,0.0,34590.449740486285,21728.842422553407,26075.93659284115,21930.834895404092,83837.83315803389,74292.38389590474,21538.05021689666,73994.0733690853,59977.87105122307,35456.515099514,162.86529577842435,12527.134245329722,7527.450096740898,70413.53653488286,2945.8023059802035,7029.583223081874,19613.048533731744,83640.04629216528,22821.15464252688,19619.69401549375,161375.05505451842,151848.77445998325,20490.96688204461,44445.7464836409,114913.71367864747,32975.59430298354,11337.289491089801,31181.550585758283,6974.836461510377,38289.04245553617,195669.03577089065,24632.459481277645,79313.62908815057,572.8534076566426,8588.057718356618,77441.97164995784,41103.27120228489,7319.530420197881,2793.8454930023713
2022-05-18,5616.883663058849,21229.90075624855,15172.450789447683,443.90189565493387,59401.98166962992,297195.81638316973,49240.51542006564,38953.44243712433,9512.653502070774,10723.442303205788,164415.00512219276,64309.55997223897,1780.4991121666362,19284.373805991716,23089.28634991151,12527.13182201327,0.0,35142.184843347764,21744.296056736865,24173.466473229426,22552.545886616466,84947.70605584257,77815.55141891252,24545.686048956293,73546.37182857684,52033.264038357374,36141.96019581795,144.64617518138158,13194.194010702726,3882.1778441207703,78406.02809706905,2991.4459636885554,4009.4831700657523,16795.52509633665,82994.10289088511,22596.98222013984,19686.418042524107,158277.92763463035,121566.76718104482,20324.96463497601,43536.48909490541,116645.5124881795,31005.195932940307,12060.882629083797,31510.96084700414,6920.183982810041,38334.79085244852,196121.7790798698,17940.794174869483,79640.56650972836,540.1343814807361,8872.237269682026,77936.67412932438,52733.41365433093,7190.988515150956,2846.9131095412563
2022-05-19,4195.158851751324,20823.971262254963,15266.957485794715,396.6199975909236,55879.73501699303,399778.20265681285,46158.98517229176,39042.218947334055,9599.612742456766,11479.657819694681,162748.79961160643,70971.98607705206,1581.9789444934559,18709.32411013228,22558.603796339656,26830.513903360326,0.0,35056.77488506983,21204.68613424914,24176.61195749922,22926.01440569089,98196.55639658966,78742.1961199571,20871.618342960377,76151.70665661748,57702.397004726234,36141.230015453366,146.3289920477686,11043.458646328576,4131.519091233382,70525.38704948543,2887.5875691353167,2682.0873303505455,7751.391626413325,94505.03207314212,20458.400678113343,18763.250664584313,154549.66693076363,119391.8752448891,19598.56804096144,42653.91037560569,117230.99504447712,31325.6805413062,12019.064866294515,31513.63541612101,6868.861271458623,42440.31915261067,189151.59617159452,23231.17167174343,80020.1440532945,660.5878561208078,8900.180306502009,76986.38413109432,52697.461217772376,10818.353922676768,2667.824309657346
2022-05-20,3625.1456009689573,19935.052788078305,18989.940680115316,457.2169850888325,51646.1164090674,407333.20158866345,46560.41491048538,38604.931674294676,9019.489551761486,10761.195176260882,159395.1318262348,62076.987157693104,1277.9676975407542,14894.637248267585,23152.567633904047,25033.580040899316,0.0,35625.34830259775,20830.027721833638,24414.22387568423,18884.923399472314,97351.42853340354,77448.48905324844,19913.561215720027,75614.18612939048,57564.22628452998,35263.989366409165,64.25058581321125,13667.679693184442,2887.108381318857,68290.47434279534,3013.939765529775,109.04256087523923,12940.15027526608,83096.57169812736,19883.55233228772,18505.67624642652,150944.97516146806,79168.33257777814,19452.271267341563,41952.73029068999,115631.10699753191,34771.77146427925,11514.380351511823,31351.242499188524,6561.001353908109,42603.126172778546,185785.37378199035,21960.065254875484,79413.25544180155,617.0663690697185,8735.891885256433,76327.31845691588,53515.89377422336,10508.91240744983,2653.0552709378203
2022-05-21,3698.331944543825,19993.761997902115,18359.382021792477,441.5513097804234,51581.03532316394,408190.43308968295,46287.62591064339,38608.02674417592,8187.7565558236665,10590.948162595023,158779.03811552314,61980.79087220377,1204.0027839404124,15233.767541479476,23330.138845884652,27342.70815237808,0.0,37023.79299568392,20312.8138433415,23731.646021388056,20671.618980137093,81068.1434276469,77630.14817561308,19781.210324889355,68875.0220906991,58751.78725828864,35485.45107873079,49.27932729209805,14267.433206531501,4648.382786026016,69463.37374545806,3013.115886319138,108.45056970277544,16258.461991109538,81532.01614660598,20118.587450192997,18697.23090288627,144812.6221754514,81549.24038456603,19474.991339857446,42078.13208882022,115391.38109884196,37760.40720209611,11509.044478951293,37402.39958410051,6536.555205442236,43507.84167266135,190187.10766155104,21102.46732624739,79583.21065213236,610.8712243358182,9052.923159374544,76612.92647627142,54147.20804320293,10437.904039449973,2664.538972862418
2022-05-22,3620.7694381869783,20084.167198417068,17355.452849768775,414.3942017582655,51325.98309918947,409080.6032725095,45703.82722541404,38262.069752260635,7034.935554331867,10310.014329878322,158921.98368618143,61165.074479383526,1230.9271982982964,15432.024318581076,23177.20188888239,30234.54086590462,0.0,37923.846495166654,19601.02139697817,23021.45073816791,22455.91359063014,80692.80937995574,77873.57222455979,19520.06041631802,62094.571091984384,59415.60092887346,35496.68912731264,33.542747652730775,13971.110067865002,6474.425256553472,71131.2991017409,2977.0835715038797,95.76011611931482,19083.65990621795,80485.64764824523,20248.163223864678,18651.429934875843,139876.4633999557,83749.92320548849,19314.84543312428,42012.04892705419,115287.58261079513,40266.916186535505,11333.05497515598,43407.281761509694,6337.8731644908285,43917.72804128658,194446.04723967932,20595.83487845874,79516.4632315159,626.1186830050387,9233.074540285112,76520.53050701416,54093.597784892656,10284.089238255796,2523.5505944941337
2022-05-23,3887.8650460384306,21110.956877605393,16957.754616945916,401.05493822048766,51822.5040690954,410586.5585637933,45478.5847612831,38403.48350391147,6565.81800182348,10634.870528015608,161581.1502440746,61132.77928120437,1363.7654197417144,16216.842920738565,23365.066975903876,35416.770884234065,0.0,38525.64109591499,18960.042582012782,22774.750322272128,24679.539635219764,80782.45786507675,78882.59944348365,19934.316785998704,56286.74443516085,60897.95106586144,36016.994548092574,20.20801060177707,14451.564074058113,8216.255821953186,73673.79732296916,3054.8869009624154,77.330961179316,22305.273009070846,79988.86671002861,20852.182578738204,19077.45749158419,137241.44498251108,86081.20891796936,19552.6646626441,42434.17780929215,116091.66349415567,45287.137333258535,11568.832850894218,49665.613581605496,6471.458776357605,44664.65406808102,199271.82006172286,20925.007771835146,79796.13109057331,667.1678929909585,9786.447162532966,76910.3114092861,54712.42251432935,10646.685007746313,2621.9633920064275
2022-05-24,3828.2148863204034,21754.045451050522,16509.358306905397,392.09838744057004,52381.94352535661,413052.0032617823,53647.8127173293,38447.20201624462,10276.59631158885,7158.354055881089,166569.85505333956,61389.95919374187,1355.9651211533364,16279.456091856284,24175.254950280316,37920.06852310741,0.0,39164.84218131674,19431.497749612736,21234.146550932863,28334.11507081528,81323.72494024146,79546.28825682634,19220.799913284056,56857.44953111567,61814.3563136806,36858.108110926405,154.191996003242,14171.381639650475,8636.802698704723,79069.62131764663,3283.206975387628,78.91019520765434,17834.463443895518,78915.46110044484,20950.402869939167,19187.940257732116,158286.21757282264,87979.28168715404,19630.61701246818,42830.74671749645,118268.38700851024,31368.951667563062,11435.13439909955,31186.540112846607,5172.441195059118,46538.0191604034,197585.03118434912,20939.357768340753,79686.87439201055,550.3694001888904,9565.548151376115,75040.02067641303,56028.10982692934,14227.183568710494,2716.154592691363
2022-05-25,4680.57229345868,21569.35151275135,16483.090184909233,315.7060895821728,53624.14024136885,414300.46870631824,52317.047135700835,37877.46267530458,10304.54350842894,11200.35144422475,169960.8594594616,62666.334290660605,989.5278429591543,15928.645792046198,24289.04246384878,41356.99067542692,0.0,40345.610858999076,19425.35721304316,22065.58938397835,29801.070964315997,82019.89579364198,81123.00991452622,15490.209866294848,77714.68149758173,62280.77896713489,38005.051377233605,157.4380138028643,14620.43025915344,8740.293489753774,74242.831613199,2772.8746876966984,17443.44516132326,15315.567374981356,82982.08767493739,20986.52232330517,19122.4580598603,150894.1365314126,89899.22845238763,20230.340957313303,42464.07215320888,119953.24180191815,28743.64046489054,11462.985952461455,34736.58654495444,6032.284759209159,46678.132603480015,203578.7205848113,4540.231654683228,79825.92545375471,560.4401852958015,8447.323643696336,75155.6553207029,56630.55527525103,13959.804510843485,2716.62892004491
2022-05-26,4459.5386604823825,21484.397512884254,15532.32714059489,246.0512948017767,54192.064637542615,431156.1575150941,55602.379405538406,38457.88139006295,11065.226227609808,12417.499565047194,173299.47814008375,53167.61565775589,1107.8661058093987,17279.937189699922,23681.740111640112,26373.229727471597,0.0,40408.853225396604,19251.013662743495,26014.740821465795,29460.395037797352,82219.06372871209,83453.46431681687,18814.91501831091,80648.21386274991,65684.542082438,38974.88651524097,247.86339469315905,17449.65196985071,5903.580445776733,80762.97571292327,2904.745551894946,20359.247995203947,15838.144275973247,84488.34224679165,21409.100191077127,19384.311151262977,152356.644788757,92123.68147983745,20509.896958177407,42806.05273204001,123647.83236106137,27028.835753594085,11315.070602033438,40667.43883410399,6050.512715378032,39512.42883785095,208223.19628466896,494.16521383293366,80346.13458712406,412.47482616735067,7966.404150806782,75353.93408665979,58321.989899574,10837.336996608321,2701.3446446641274
2022-05-27,4516.757347047586,21668.620613865114,13379.137806578086,275.8153506336344,78777.56716290477,434641.2501957607,57948.24395536998,42754.6082491526,11152.577499873596,13059.348722377612,176881.84100577023,65838.46544846636,1345.3399649564117,16892.37140889117,24274.121200351925,25137.17688639904,0.0,105851.05118572462,19957.244612538754,25996.15417646413,34137.591816080254,84166.72048715831,83597.46547418687,18934.564932896683,83496.66116926429,68176.91481143744,40370.275077375314,270.05324349615347,16806.748902323554,6135.361805361324,81612.33563099435,2766.912119312353,21255.816057670407,16685.581562548196,85333.9471702638,21736.492781116478,20091.792043919875,152346.4420810388,92629.88892762766,20785.544754155006,43773.514045560274,124803.14717693099,25315.14861786736,11544.990135343933,46962.853045026386,6383.622204065081,40851.1254416299,209483.34853957963,442.6440924834924,83135.23547480213,491.34826331697445,7833.432057960471,77771.26508339355,60405.924255859325,10986.815585144972,2829.1958496910065
2022-05-28,4442.344159880797,20468.321158563882,11574.171601888922,242.43068324068702,77289.2875113029,434877.8611570648,50041.78048267683,41466.718110476926,11315.528847917843,11874.51741429164,151653.19883489583,56174.32767455009,1165.4027475392186,15466.976284124457,22382.011783423237,20666.73213881332,0.0,103130.48810770022,18583.02233900685,25635.32903092618,30474.299642582402,82578.12661982492,80824.72208557033,17626.91692116514,76249.39184535951,63382.851141674175,37408.49016163201,254.6936660555884,11313.828152376986,8795.991629969893,78548.83361160426,2571.6683184653584,16886.657457469657,15423.182737182533,80844.13145225031,20901.28358862664,18812.29692491532,149585.4149818534,90600.27976823207,19331.95430446296,40098.5337759643,109521.17323434334,23709.9389729039,11465.881775953208,40540.24296223995,6507.154276677175,38112.63805373075,202216.17696526405,2148.411247690354,82132.81813706098,414.8710770750906,7443.605361044571,71023.68565018041,56492.2571057714,10099.364064685617,2512.337327976149
2022-05-29,4193.761854148113,19301.85914155726,9557.191961438375,203.61591641949343,75551.16756875515,435152.00521335215,41802.63417694836,39812.26508733843,10997.166483873378,10651.745946942889,127267.59454355591,45942.46987699187,1094.5585426248763,13915.181799910466,20162.315201372716,17074.69607196013,0.0,100670.78972628314,17015.744331022,25240.018173128447,26890.800146511825,80631.49417069326,78134.8818158547,16219.743635415301,68954.44623722519,58007.29103591493,34198.288880587555,234.30595786834,10340.535435403868,7352.0994461756645,76055.9137638985,2352.0107137814307,10653.84491891888,13240.971922364295,76919.688946788,19953.95350149371,17295.73689923352,148129.07778866385,88338.04451084489,17699.790032132518,36241.0572771394,94303.21745060752,21738.255747097355,11219.360208402699,34080.21836413748,6450.893556908276,34815.4567168226,194772.3275302527,3233.307411102748,80888.96955012328,359.0833794569479,6961.94409229621,63934.8228301735,51826.83951077798,9143.367620439569,2060.942635514447
