state,0.2,0.5,0.8,delta,lower_bound,upper_bound
09003,-166.0,-41.0,40.0,309.0,-475.0,349.0
09005,-26.0,3.0,28.0,81.0,-107.0,109.0
09007,-15.0,5.0,40.0,82.5,-97.5,122.5
09009,-186.0,-21.0,45.0,346.5,-532.5,391.5
09011,-66.0,1.0,47.0,169.5,-235.5,216.5
09013,-31.0,-4.0,13.0,66.0,-97.0,79.0
09015,-23.0,0.0,25.0,72.0,-95.0,97.0
10000,-1.0,0.0,3.0,6.0,-7.0,9.0
10001,-1.0,31.0,70.0,106.5,-107.5,176.5
10003,-25.0,28.0,94.0,178.5,-203.5,272.5
10005,-1.0,27.0,53.0,81.0,-82.0,134.0
11000,-2.0,0.0,2.0,6.0,-8.0,8.0
11001,-456.0,-10.0,48.0,756.0,-1212.0,804.0
12000,-2.0,0.0,2.0,6.0,-8.0,8.0
12001,-2.0,0.0,2.0,6.0,-8.0,8.0
12003,-2.0,0.0,2.0,6.0,-8.0,8.0
12005,-2.0,0.0,2.0,6.0,-8.0,8.0
12007,-2.0,0.0,2.0,6.0,-8.0,8.0
12009,-2.0,0.0,2.0,6.0,-8.0,8.0
12011,-2.0,0.0,2.0,6.0,-8.0,8.0
12013,-2.0,0.0,2.0,6.0,-8.0,8.0
12015,-2.0,0.0,2.0,6.0,-8.0,8.0
12017,-2.0,0.0,2.0,6.0,-8.0,8.0
12019,-2.0,0.0,2.0,6.0,-8.0,8.0
12021,-2.0,0.0,2.0,6.0,-8.0,8.0
12023,-2.0,0.0,2.0,6.0,-8.0,8.0
12027,-2.0,0.0,2.0,6.0,-8.0,8.0
12029,-2.0,0.0,2.0,6.0,-8.0,8.0
12031,-2.0,0.0,2.0,6.0,-8.0,8.0
12033,-2.0,0.0,2.0,6.0,-8.0,8.0
12035,-2.0,0.0,2.0,6.0,-8.0,8.0
12037,-2.0,0.0,2.0,6.0,-8.0,8.0
12039,-2.0,0.0,2.0,6.0,-8.0,8.0
12041,-2.0,0.0,2.0,6.0,-8.0,8.0
12043,-2.0,0.0,2.0,6.0,-8.0,8.0
12045,-2.0,0.0,2.0,6.0,-8.0,8.0
12047,-2.0,0.0,2.0,6.0,-8.0,8.0
12049,-2.0,0.0,2.0,6.0,-8.0,8.0
12051,-2.0,0.0,2.0,6.0,-8.0,8.0
12053,-2.0,0.0,2.0,6.0,-8.0,8.0
12055,-2.0,0.0,2.0,6.0,-8.0,8.0
12057,-2.0,0.0,2.0,6.0,-8.0,8.0
12059,-2.0,0.0,2.0,6.0,-8.0,8.0
12061,-2.0,0.0,2.0,6.0,-8.0,8.0
12063,-2.0,0.0,2.0,6.0,-8.0,8.0
12065,-2.0,0.0,2.0,6.0,-8.0,8.0
12067,-2.0,0.0,2.0,6.0,-8.0,8.0
12069,-2.0,0.0,2.0,6.0,-8.0,8.0
