name,fips,county,state
"Roanoke County, Virginia, United States",51161,Roanoke County,Virginia
"Rockbridge County, Virginia, United States",51163,Rockbridge County,Virginia
"Rockingham County, Virginia, United States",51165,Rockingham County,Virginia
"Russell County, Virginia, United States",51167,Russell County,Virginia
"Salem City, Virginia, United States",51775,Salem City,Virginia
"Scott County, Virginia, United States",51169,Scott County,Virginia
"Shenandoah County, Virginia, United States",51171,Shenandoah County,Virginia
"Smyth County, Virginia, United States",51173,Smyth County,Virginia
"Southampton County, Virginia, United States",51175,Southampton County,Virginia
"Spotsylvania County, Virginia, United States",51177,Spotsylvania County,Virginia
"Stafford County, Virginia, United States",51179,Stafford County,Virginia
"Staunton City, Virginia, United States",51790,Staunton City,Virginia
"Suffolk City, Virginia, United States",51800,Suffolk City,Virginia
"Surry County, Virginia, United States",51181,Surry County,Virginia
"Sussex County, Virginia, United States",51183,Sussex County,Virginia
"Tazewell County, Virginia, United States",51185,Tazewell County,Virginia
"Virginia Beach City, Virginia, United States",51810,Virginia Beach City,Virginia
"Warren County, Virginia, United States",51187,Warren County,Virginia
"Washington County, Virginia, United States",51191,Washington County,Virginia
"Waynesboro City, Virginia, United States",51820,Waynesboro City,Virginia
"Westmoreland County, Virginia, United States",51193,Westmoreland County,Virginia
"Williamsburg City, Virginia, United States",51830,Williamsburg City,Virginia
"Winchester City, Virginia, United States",51840,Winchester City,Virginia
"Wise County, Virginia, United States",51195,Wise County,Virginia
"Wythe County, Virginia, United States",51197,Wythe County,Virginia
"York County, Virginia, United States",51199,York County,Virginia
"Snohomish County, Washington, United States",53061,Snohomish County,Washington
"Autauga County, Alabama, United States",1001,Autauga County,Alabama
"Baldwin County, Alabama, United States",1003,Baldwin County,Alabama
"Barbour County, Alabama, United States",1005,Barbour County,Alabama
"Bibb County, Alabama, United States",1007,Bibb County,Alabama
"Blount County, Alabama, United States",1009,Blount County,Alabama
"Bullock County, Alabama, United States",1011,Bullock County,Alabama
"Butler County, Alabama, United States",1013,Butler County,Alabama
"Calhoun County, Alabama, United States",1015,Calhoun County,Alabama
"Chambers County, Alabama, United States",1017,Chambers County,Alabama
"Cherokee County, Alabama, United States",1019,Cherokee County,Alabama
"Chilton County, Alabama, United States",1021,Chilton County,Alabama
"Choctaw County, Alabama, United States",1023,Choctaw County,Alabama
"Clarke County, Alabama, United States",1025,Clarke County,Alabama
"Clay County, Alabama, United States",1027,Clay County,Alabama
"Cleburne County, Alabama, United States",1029,Cleburne County,Alabama
"Coffee County, Alabama, United States",1031,Coffee County,Alabama
"Colbert County, Alabama, United States",1033,Colbert County,Alabama
"Conecuh County, Alabama, United States",1035,Conecuh County,Alabama
"Coosa County, Alabama, United States",1037,Coosa County,Alabama
"Covington County, Alabama, United States",1039,Covington County,Alabama
"Crenshaw County, Alabama, United States",1041,Crenshaw County,Alabama
"Cullman County, Alabama, United States",1043,Cullman County,Alabama
"Dale County, Alabama, United States",1045,Dale County,Alabama
"Dallas County, Alabama, United States",1047,Dallas County,Alabama
"DeKalb County, Alabama, United States",1049,DeKalb County,Alabama
"Elmore County, Alabama, United States",1051,Elmore County,Alabama
"Escambia County, Alabama, United States",1053,Escambia County,Alabama
"Etowah County, Alabama, United States",1055,Etowah County,Alabama
"Fayette County, Alabama, United States",1057,Fayette County,Alabama
"Franklin County, Alabama, United States",1059,Franklin County,Alabama
"Geneva County, Alabama, United States",1061,Geneva County,Alabama
"Greene County, Alabama, United States",1063,Greene County,Alabama
"Hale County, Alabama, United States",1065,Hale County,Alabama
"Henry County, Alabama, United States",1067,Henry County,Alabama
"Houston County, Alabama, United States",1069,Houston County,Alabama
"Jackson County, Alabama, United States",1071,Jackson County,Alabama
"Jefferson County, Alabama, United States",1073,Jefferson County,Alabama
"Lamar County, Alabama, United States",1075,Lamar County,Alabama
"Lauderdale County, Alabama, United States",1077,Lauderdale County,Alabama
"Lawrence County, Alabama, United States",1079,Lawrence County,Alabama
"Lee County, Alabama, United States",1081,Lee County,Alabama
"Limestone County, Alabama, United States",1083,Limestone County,Alabama
