,weekday_outlier,global_outlier,stream_individual,stream_group,evd_ranking
02013,0.0,0,0.918918918918919,0.9343283582089552,0.24078073089700996
02016,0.0,0,0.918918918918919,0.9421804023361453,0.49730066445182725
02020,0.0,0,1.0,0.9767683322517846,0.8935631229235881
02050,0.0,0,1.0,0.945360155743024,0.5511212624584717
02060,0.0,0,0.8648255813953488,0.11615833874107717,0.0
02063,0.0,0,1.0,0.11972744970798188,0.0
02066,0.0,0,1.0,0.5020116807268008,0.0
02068,0.0,0,1.0,0.9406878650227125,0.46503322259136215
02070,0.0,0,0.9054054054054054,0.8708630759247242,0.0
02090,0.0,0,1.0,0.9585334198572355,0.7645348837209303
02100,0.0,0,1.0,0.9136924075275795,0.010506644518272426
02105,0.0,0,1.0,0.17839065541855936,0.0
02110,0.0,0,1.0,0.9585983127839065,0.7656976744186047
02122,0.0,0,0.9864864864864865,0.9428293316028553,0.5097591362126246
02130,0.0,0,0.9864864864864865,0.9425697598961713,0.5025332225913621
02150,0.0,0,1.0,0.9520441271901363,0.6752076411960133
02164,0.0,0,1.0,0.899870214146658,0.0019933554817275745
02170,0.0,0,0.9864864864864865,0.9593121349772875,0.7729651162790697
02180,0.0,0,0.9594594594594594,0.9330953926022063,0.21611295681063122
02185,0.0,0,1.0,0.9385463984425697,0.39788205980066443
02188,0.0,0,0.9864864864864865,0.9302401038286827,0.14485049833887043
02195,0.0,0,0.9054054054054054,0.9209604153147307,0.03068936877076412
02198,0.0,0,1.0,0.9249188838416613,0.054028239202657806
02220,0.0,0,1.0,0.9490590525632706,0.6308970099667774
02230,0.0,0,0.9864864864864865,0.9264114211550941,0.07919435215946843
02240,0.0,0,0.9324324324324325,0.9339390006489292,0.23596345514950165
02261,0.0,0,0.7093023255813954,0.26670992861778064,0.0
02270,0.0,0,0.9864864864864865,0.9244646333549643,0.04796511627906977
02275,0.0,0,0.972972972972973,0.9123296560674886,0.009426910299003322
02282,0.0,0,0.972972972972973,0.9217391304347826,0.03397009966777409
02290,0.0,0,0.972972972972973,0.9063595068137573,0.005357142857142857
04,0.0,0,0.9864864864864865,0.9907893790026624,0.9691029900332226
04000,0.0,0,0.438953488372093,0.22119881988918466,0.0
04001,0.0,0,0.9864864864864865,0.9291933510829675,0.28019102990033223
04003,0.0,0,1.0,0.9380441821975966,0.5273255813953488
04005,0.0,0,1.0,0.9481902568899763,0.6953488372093023
04007,0.0,0,1.0,0.935309779089012,0.4725083056478405
04009,0.0,0,1.0,0.9322155860977189,0.38683554817275745
04011,0.0,0,0.972972972972973,0.9216377635460891,0.07441860465116279
04012,0.0,0,1.0,0.9217097215226308,0.07811461794019933
04013,0.0,0,0.9864864864864865,0.9894941354249118,0.9630813953488372
04015,0.0,0,0.9864864864864865,0.943944736274016,0.6419435215946844
04017,0.0,0,0.9864864864864865,0.9348060732532201,0.46677740863787376
04019,0.0,0,0.9864864864864865,0.9671152047204432,0.856187707641196
04021,0.0,0,0.972972972972973,0.9520040296466863,0.7489202657807309
04023,0.0,0,0.9864864864864865,0.9208462258041303,0.05843023255813953
04025,0.0,0,0.972972972972973,0.946319349499892,0.6693521594684385
04027,0.0,0,0.9864864864864865,0.9292653090595092,0.2846345514950166
05,0.0,0,0.5813953488372092,0.7170605084138919,0.0
05000,0.0,0,0.3866279069767442,0.8064932740013299,0.0
05001,0.0,0,0.747093023255814,0.4725333742519564,0.0
05003,0.0,0,0.6206395348837209,0.29215896885069814,0.0
05005,0.0,0,0.7761627906976745,0.5516597616490205,0.0
05007,0.0,0,0.24127906976744184,0.6723185514807427,0.0
05009,0.0,0,0.809593023255814,0.7073551225001279,0.0
05011,0.0,0,0.5668604651162791,0.8369264999232776,0.0
05013,0.0,0,0.8895348837209303,0.66953097028285,0.0
05015,0.0,0,0.5406976744186046,0.1528822055137845,0.0
05017,0.0,0,0.3023255813953488,0.5187074829931972,0.0
05019,0.0,0,0.04069767441860461,0.41634698992378905,0.0
05021,1.0,1,0.6497093023255814,0.23154825840110482,0.0
05023,0.0,0,0.20058139534883723,0.6688660426576646,0.0
05025,0.0,0,0.3633720930232558,0.7914940412255128,0.0
05027,0.0,0,0.43023255813953487,0.717073295483607,0.0
05029,0.0,0,0.19476744186046513,0.7494757301416808,0.0
05031,0.0,0,0.6395348837209303,0.24172676589432762,0.0
05033,0.0,0,0.7558139534883721,0.7769679300291545,0.0
