fips,zip,pop_prop,hrrnum,cbsa_id,population,state_id
47125,37171,0.002800221,380.0,17300.0,585.226587453,tn
47125,37191,0.020427928999999997,380.0,17300.0,4269.294165496999,tn
47127,37352,1.0,380.0,,6488.0,tn
47129,37719,0.01112113,377.0,28940.0,238.02554539,tn
47129,37726,0.118124436,377.0,28940.0,2528.217303708,tn
47129,37733,0.005710850999999999,377.0,28940.0,122.22934395299998,tn
47129,37770,0.160805531,377.0,28940.0,3441.720779993,tn
47129,37829,0.105440337,377.0,28940.0,2256.739532811,tn
47129,37845,0.040456868,377.0,28940.0,865.898345804,tn
47129,37872,0.098166516,377.0,28940.0,2101.057941948,tn
47129,37887,0.460174331,377.0,28940.0,9849.111206393,tn
47131,38232,0.061709454000000004,379.0,,1855.541572326,tn
47131,38240,0.084347619,379.0,,2536.248555711,tn
47131,38253,0.030275136,379.0,,910.3430643840001,tn
47131,38254,0.002216085,379.0,,66.635459865,tn
47131,38257,0.155807848,208.0,,4684.986181512,tn
47131,38260,0.124646279,379.0,,3747.988963251,tn
47131,38261,0.540997579,379.0,,16267.256202951,tn
47133,38541,0.088211836,380.0,,1961.919444476,tn
47133,38542,0.000903919,380.0,,20.104062479,tn
47133,38543,0.03238156,380.0,,720.1982759599999,tn
47133,38554,0.052533631,380.0,,1168.400487071,tn
47133,38568,0.11400010599999999,380.0,,2535.4763575459997,tn
47133,38570,0.499973414,380.0,,11119.908700774,tn
47133,38573,0.11245812699999999,380.0,,2501.1812026069997,tn
47133,38580,0.083745414,380.0,,1862.581752774,tn
47133,38589,0.015791992,380.0,,351.22969407200003,tn
47135,37096,0.7133045029999999,380.0,,5760.647166227999,tn
47135,37097,0.28669549699999997,380.0,,2315.352833772,tn
47137,38549,0.756740443,380.0,,3820.025756264,tn
47137,38577,0.243259557,380.0,,1227.9742437359998,tn
47139,37307,0.278144928,373.0,17420.0,4681.735428096,tn
47139,37317,0.153217391,373.0,17420.0,2578.9551253120003,tn
47139,37325,0.099072464,377.0,17420.0,1667.587714048,tn
47139,37326,0.027768116000000002,373.0,17420.0,467.392928512,tn
47139,37333,0.029971014,373.0,17420.0,504.472107648,tn
47139,37361,0.078202899,373.0,17420.0,1316.311195968,tn
47139,37362,0.20452173899999998,373.0,17420.0,3442.509910848,tn
47139,37369,0.052521739000000005,377.0,17420.0,884.0459108480001,tn
47139,37391,0.07657971,373.0,17420.0,1288.98967872,tn
47141,38501,0.44339688,380.0,,35580.3826356,tn
47141,38505,0.02345465,380.0,,1882.11838925,tn
47141,38506,0.329012132,380.0,,26401.57853234,tn
47141,38544,0.083419988,380.0,,6694.03693706,tn
47141,38548,0.009173888,380.0,,736.15864256,tn
47141,38574,0.09678798400000001,380.0,,7766.751776080001,tn
47141,38582,0.014754477,380.0,,1183.9730068650001,tn
47143,37321,0.5330082110000001,373.0,,17678.283334237003,tn
47143,37332,0.070176889,377.0,,2327.556877463,tn
47143,37337,0.048217336,380.0,,1599.224383112,tn
