fips,pop
26123,49027
26125,1257726
26127,26562
26129,20933
26131,5713
26133,23394
26135,8318
26137,24664
26139,291460
26141,12602
26143,23986
26145,190484
26147,159339
26149,60826
26151,41220
26153,8081
26155,68065
26157,52355
26159,75594
26161,368242
26163,1750093
26165,33654
27001,15841
27003,357538
27005,34461
27007,47205
27009,40938
27011,4967
27013,67874
27015,24965
27017,35913
27019,105128
27021,29622
27023,11756
27025,56543
27027,64441
27029,8843
27031,5416
27033,11232
27035,65191
27037,429453
27039,20976
27041,38070
27043,13671
27045,21081
27047,30385
27049,46391
27051,5977
27053,1265159
27055,18667
27057,21604
27059,40447
27061,45225
27063,9799
27065,16357
27067,43137
27069,4286
27071,12202
27073,6628
27075,10625
27077,3736
27079,28856
27081,5619
27083,25579
27085,35826
27087,5540
27089,9345
27091,19641
27093,23166
27095,26166
27097,33329
27099,40040
27101,8197
27103,34311
27105,21645
27107,6388
27109,158188
27111,58684
27113,14069
27115,29430
27117,9152
27119,31330
27121,11216
27123,549632
27125,4032
27127,15158
27129,14551
27131,67016
27133,9334
27135,15176
27137,199212
27139,149004
27141,97424
27143,14868
27145,161076
27147,36687
27149,9822
27151,9294
27153,24725
27155,3260
27157,21548
27159,13662
27161,18558
27163,262541
27165,10846
27167,6223
27169,50659
27171,138542
27173,9736
28001,30736
28003,37043
28005,12286
28007,18173
28009,8278
28011,30714
28013,14365
28015,9928
28017,17026
28019,8192
28021,8998
28023,15506
28025,19349
28027,22095
28029,28099
28031,18562
28033,185385
28035,75035
28037,7694
28039,24435
28041,13569
28043,20732
28045,47673
28047,207859
28049,231919
28051,17036
28053,8056
28055,1324
28057,23351
28059,143387
28061,16368
28063,7022
28065,11089
28067,68282
28069,9780
28071,54239
28073,63447
28075,74619
28077,12607
28079,22830
28081,85674
28083,28202
28085,34111
28087,58621
28089,106334
28091,24504
28093,35302
28095,35291
28097,9766
28099,29147
28101,20987
28103,10425
28105,49543
28107,34102
28109,55752
28111,11998
