fips,hhs
18173,5
18175,5
18177,5
18179,5
18181,5
18183,5
19001,7
19003,7
19005,7
19007,7
19009,7
19011,7
19013,7
19015,7
19017,7
19019,7
19021,7
19023,7
19025,7
19027,7
19029,7
19031,7
19033,7
19035,7
19037,7
19039,7
19041,7
19043,7
19045,7
19047,7
19049,7
19051,7
19053,7
19055,7
19057,7
19059,7
19061,7
19063,7
19065,7
19067,7
19069,7
19071,7
19073,7
19075,7
19077,7
19079,7
19081,7
19083,7
19085,7
19087,7
19089,7
19091,7
19093,7
19095,7
19097,7
19099,7
19101,7
19103,7
19105,7
19107,7
19109,7
19111,7
19113,7
19115,7
19117,7
19119,7
19121,7
19123,7
19125,7
19127,7
19129,7
19131,7
19133,7
19135,7
19137,7
19139,7
19141,7
19143,7
19145,7
19147,7
19149,7
19151,7
19153,7
19155,7
19157,7
19159,7
19161,7
19163,7
19165,7
19167,7
19169,7
19171,7
19173,7
19175,7
19177,7
19179,7
19181,7
19183,7
19185,7
19187,7
19189,7
19191,7
19193,7
19195,7
19197,7
20001,7
20003,7
20005,7
20007,7
20009,7
20011,7
20013,7
20015,7
20017,7
20019,7
20021,7
20023,7
20025,7
20027,7
20029,7
20031,7
20033,7
20035,7
20037,7
20039,7
20041,7
20043,7
20045,7
20047,7
20049,7
20051,7
20053,7
20055,7
20057,7
20059,7
20061,7
20063,7
20065,7
20067,7
20069,7
20071,7
20073,7
20075,7
20077,7
20079,7
20081,7
20083,7
20085,7
20087,7
20089,7
20091,7
20093,7
20095,7
20097,7
20099,7
20101,7
20103,7
20105,7
20107,7
20109,7
20111,7
20113,7
20115,7
20117,7
20119,7
20121,7
20123,7
20125,7
20127,7
20129,7
20131,7
20133,7
20135,7
20137,7
20139,7
20141,7
20143,7
20145,7
20147,7
20149,7
20151,7
20153,7
20155,7
20157,7
20159,7
20161,7
20163,7
20165,7
20167,7
20169,7
20171,7
20173,7
20175,7
20177,7
20179,7
20181,7
20183,7
20185,7
20187,7
20189,7
20191,7
20193,7
20195,7
20197,7
20199,7
20201,7
20203,7
20205,7
20207,7
20209,7
21001,4
21003,4
21005,4
21007,4
21009,4
21011,4
21013,4
21015,4
21017,4
21019,4
21021,4
21023,4
21025,4
21027,4
21029,4
21031,4
21033,4
21035,4
21037,4
21039,4
21041,4
21043,4
21045,4
21047,4
21049,4
21051,4
21053,4
21055,4
21057,4
21059,4
21061,4
21063,4
21065,4
21067,4
21069,4
21071,4
21073,4
21075,4
21077,4
21079,4
21081,4
21083,4
21085,4
21087,4
21089,4
21091,4
21093,4
21095,4
21097,4
21099,4
21101,4
21103,4
21105,4
21107,4
21109,4
21111,4
21113,4
21115,4
21117,4
21119,4
21121,4
21123,4
21125,4
21127,4
21129,4
21131,4
21133,4
21135,4
21137,4
21139,4
21141,4
21143,4
21145,4
21147,4
21149,4
21151,4
21153,4
21155,4
21157,4
21159,4
21161,4
21163,4
21165,4
21167,4
21169,4
21171,4
21173,4
21175,4
21177,4
21179,4
21181,4
21183,4
21185,4
21187,4
21189,4
21191,4
21193,4
21195,4
21197,4
21199,4
21201,4
21203,4
21205,4
21207,4
21209,4
21211,4
21213,4
21215,4
21217,4
21219,4
21221,4
21223,4
21225,4
21227,4
21229,4
21231,4
21233,4
21235,4
21237,4
21239,4
22001,6
22003,6
22005,6
22007,6
22009,6
22011,6
22013,6
22015,6
22017,6
22019,6
22021,6
22023,6
22025,6
22027,6
22029,6
22031,6
22033,6
22035,6
22037,6
22039,6
22041,6
22043,6
22045,6
22047,6
22049,6
22051,6
22053,6
22055,6
22057,6
22059,6
22061,6
22063,6
22065,6
22067,6
22069,6
22071,6
22073,6
22075,6
22077,6
22079,6
22081,6
22083,6
22085,6
22087,6
22089,6
22091,6
22093,6
22095,6
22097,6
22099,6
22101,6
22103,6
22105,6
22107,6
22109,6
22111,6
22113,6
22115,6
22117,6
22119,6
22121,6
22123,6
22125,6
22127,6
23001,1
23003,1
23005,1
23007,1
23009,1
23011,1
23013,1
23015,1
23017,1
23019,1
23021,1
23023,1
23025,1
23027,1
23029,1
23031,1
24001,3
24003,3
24005,3
24009,3
24011,3
24013,3
24015,3
24017,3
24019,3
24021,3
24023,3
24025,3
24027,3
24029,3
24031,3
24033,3
24035,3
24037,3
24039,3
24041,3
24043,3
24045,3
24047,3
24510,3
25001,1
25003,1
25005,1
25007,1
25009,1
25011,1
25013,1
25015,1
25017,1
25019,1
25021,1
25023,1
25025,1
25027,1
26001,5
26003,5
26005,5
26007,5
26009,5
26011,5
26013,5
26015,5
26017,5
26019,5
26021,5
26023,5
26025,5
26027,5
26029,5
26031,5
26033,5
26035,5
26037,5
26039,5
26041,5
26043,5
26045,5
26047,5
26049,5
26051,5
26053,5
26055,5
26057,5
26059,5
26061,5
26063,5
26065,5
26067,5
26069,5
26071,5
26073,5
26075,5
26077,5
26079,5
26081,5
26083,5
26085,5
26087,5
26089,5
26091,5
26093,5
26095,5
26097,5
26099,5
26101,5
26103,5
26105,5
26107,5
26109,5
26111,5
26113,5
26115,5
26117,5
26119,5
26121,5
26123,5
26125,5
26127,5
26129,5
26131,5
26133,5
26135,5
26137,5
26139,5
26141,5
26143,5
26145,5
26147,5
26149,5
26151,5
26153,5
26155,5
26157,5
26159,5
26161,5
26163,5
26165,5
27001,5
27003,5
27005,5
27007,5
27009,5
27011,5
27013,5
