zip,weight,hhs
01020,1.0,1
01022,1.0,1
01026,1.0,1
01027,1.0,1
01028,1.0,1
01029,1.0,1
01030,1.0,1
01031,1.0,1
01032,1.0,1
01033,1.0,1
01034,1.0,1
01035,1.0,1
01036,1.0,1
01037,1.0,1
01038,1.0,1
01039,0.15119760479041916,1
01039,0.8488023952095808,1
01040,1.0,1
01050,0.1383399209486166,1
01050,0.8616600790513834,1
01053,1.0,1
01054,1.0,1
01056,1.0,1
01057,1.0,1
01060,1.0,1
01062,1.0,1
01063,1.0,1
01066,1.0,1
01068,1.0,1
01069,1.0,1
01070,1.0,1
01071,1.0,1
01072,1.0,1
01073,1.0,1
01074,1.0,1
01075,1.0,1
01077,1.0,1
01079,1.0,1
01080,1.0,1
01081,1.0,1
01082,0.9564037977136214,1
01082,0.043596202286378616,1
01083,1.0,1
01084,1.0,1
01085,1.0,1
01086,1.0,1
01088,1.0,1
01089,1.0,1
01092,1.0,1
01093,1.0,1
01094,1.0,1
01095,1.0,1
01096,1.0,1
01097,1.0,1
01098,1.0,1
01103,1.0,1
01104,1.0,1
01105,1.0,1
01106,1.0,1
01107,1.0,1
01108,1.0,1
01109,1.0,1
01118,1.0,1
01119,1.0,1
01128,1.0,1
01129,1.0,1
01151,1.0,1
01201,1.0,1
01220,1.0,1
01222,1.0,1
01223,1.0,1
01224,1.0,1
01225,1.0,1
01226,1.0,1
01229,1.0,1
01230,1.0,1
01235,1.0,1
01236,1.0,1
01237,1.0,1
01238,1.0,1
01240,1.0,1
01242,1.0,1
01243,1.0,1
01244,1.0,1
01245,1.0,1
01247,1.0,1
01253,1.0,1
01254,1.0,1
01255,1.0,1
01256,1.0,1
01257,1.0,1
01258,1.0,1
01259,1.0,1
01260,1.0,1
01262,1.0,1
01264,1.0,1
01266,1.0,1
01267,1.0,1
01270,1.0,1
01301,1.0,1
01330,1.0,1
01331,1.0,1
01337,1.0,1
01338,1.0,1
01339,1.0,1
01340,1.0,1
01341,1.0,1
01342,1.0,1
01343,1.0,1
01344,1.0,1
01346,1.0,1
01347,1.0,1
01349,1.0,1
01350,1.0,1
01351,1.0,1
01354,1.0,1
01355,1.0,1
01360,1.0,1
01364,1.0,1
01366,1.0,1
01367,1.0,1
01368,1.0,1
01370,1.0,1
01373,1.0,1
01375,1.0,1
01376,1.0,1
01378,1.0,1
01379,1.0,1
01420,1.0,1
01430,1.0,1
01431,1.0,1
01432,1.0,1
01434,0.1883008356545961,1
01434,0.8116991643454039,1
01436,1.0,1
01438,1.0,1
01440,1.0,1
01450,1.0,1
01451,1.0,1
01452,1.0,1
01453,1.0,1
01460,1.0,1
01462,1.0,1
01463,1.0,1
01464,1.0,1
01467,1.0,1
01468,1.0,1
01469,1.0,1
01473,1.0,1
01474,1.0,1
01475,1.0,1
01501,1.0,1
01503,1.0,1
01504,1.0,1
01505,1.0,1
01506,1.0,1
01507,1.0,1
01510,1.0,1
01515,1.0,1
01516,1.0,1
01518,1.0,1
01519,1.0,1
01520,1.0,1
01521,1.0,1
01522,1.0,1
01523,1.0,1
01524,1.0,1
01525,1.0,1
01527,1.0,1
01529,1.0,1
01531,1.0,1
01532,1.0,1
01534,1.0,1
01535,1.0,1
01536,1.0,1
01537,1.0,1
01540,1.0,1
01541,1.0,1
01542,1.0,1
01543,1.0,1
01545,1.0,1
01550,1.0,1
01560,1.0,1
01561,1.0,1
01562,1.0,1
01564,1.0,1
01566,1.0,1
01568,1.0,1
01569,1.0,1
01570,1.0,1
01571,1.0,1
01581,1.0,1
01583,1.0,1
01585,1.0,1
01588,1.0,1
01590,1.0,1
01602,1.0,1
01603,1.0,1
01604,1.0,1
01605,1.0,1
01606,1.0,1
01607,1.0,1
01608,1.0,1
01609,1.0,1
01610,1.0,1
01611,1.0,1
01612,1.0,1
01701,1.0,1
01702,1.0,1
