zip,pop
03047,1838
03048,3565
03049,8000
03051,25476
03052,8593
03053,25137
03054,26513
03055,15699
03057,2601
03060,30551
03062,27780
03063,16875
03064,14805
03070,5467
03071,5316
03076,13421
03077,10655
03079,30193
03082,1680
03084,1421
03086,3879
03087,14261
03101,3173
03102,32361
03103,37960
03104,34131
03106,13825
03109,10733
03110,22065
03215,249
03216,2231
03217,2093
03218,979
03220,7581
03221,2161
03222,5399
03223,3456
03224,2396
03225,3735
03226,1139
03227,946
03229,5777
03230,1272
03231,208
03233,118
03234,4726
03235,8851
03237,2299
03238,75
03240,1351
03241,883
03242,4999
03243,1121
03244,8421
03245,2044
03246,16285
03249,7256
03251,1676
03253,6344
03254,4141
03255,2160
03256,2212
03257,4605
03258,2602
03259,376
03260,836
03261,4455
03262,1241
03263,4252
03264,7532
03266,2181
03268,1314
03269,3025
03273,322
03275,11823
03276,8556
03278,3051
03279,836
03280,1107
03281,9142
03282,909
03284,985
03285,2500
03287,1338
03290,4964
03291,40
03293,144
03301,34122
03303,16048
03304,7772
03307,5514
03431,24941
03440,2801
03441,389
03442,1551
03443,732
03444,1568
03445,681
03446,6200
03447,2389
03448,800
03449,1721
03450,948
03451,4022
03452,5383
03455,2058
03456,732
03457,840
03458,6912
03461,5933
03462,1541
03464,1094
03465,2127
03466,1314
03467,1817
03470,4965
03561,5990
03570,9597
03574,2547
03575,118
03576,3091
03579,445
03580,1380
03581,3084
03582,2460
03583,1057
03584,3603
03585,2540
03586,551
03588,1566
03590,1004
03592,1093
03593,298
03595,610
03597,497
03598,3136
03601,470
03602,2618
03603,5338
03604,68
03605,1144
03607,317
03608,2773
03609,842
03740,918
03741,4244
03743,13910
03745,1404
03746,213
03748,4798
03750,877
03751,575
03752,798
03753,2930
03754,84
03755,10628
03765,507
03766,9035
03768,1730
03770,516
03771,760
03773,7734
03774,1982
03777,1247
03779,796
03780,413
03781,1814
03782,2904
03784,4121
03785,2420
03801,22592
03809,3791
03810,1569
03811,7085
03812,842
03813,3324
03814,2382
03816,1399
03817,587
03818,3893
03819,4592
03820,31866
03823,1823
03824,15528
03825,9029
03826,2591
03827,3305
03830,1646
03832,404
03833,21987
03835,7198
03836,1523
03837,1549
03838,1054
03839,3962
03840,3741
03841,6646
03842,16101
03844,2348
03845,1013
03846,817
03847,300
03848,6316
03849,1621
03850,380
03851,4285
03852,591
03853,615
03854,1015
03855,2798
03856,1762
03857,9449
03858,4829
03860,4148
03861,4593
03862,4488
03864,1734
03865,7983
03867,22020
03868,5646
03869,2619
03870,5416
03871,142
03872,3895
03873,5992
03874,9208
03875,852
03878,12543
03882,1498
03883,182
03884,4205
03885,7618
03886,2160
03887,2270
03890,334
03894,6458
03901,7632
03902,2328
03903,6542
03904,8113
03905,1874
03906,4894
03907,941
03908,7618
03909,10257
03910,345
03911,263
04001,2558
04002,7742
04003,345
04005,24380
04006,101
04008,2766
04009,5394
04010,1600
04011,21237
04015,3988
04017,357
04019,74
04020,1477
04021,6095
04022,1150
04024,636
04027,6352
04029,1806
04030,2325
04032,8251
04037,3843
04038,17156
04039,7773
04040,3241
04041,1616
04042,4509
04043,11386
04046,7895
04047,1992
04048,3103
04049,3854
04050,240
04051,1155
04055,3972
04056,270
04057,58
04061,3548
04062,17825
04063,433
04064,8649
04066,564
04068,1508
04069,1534
04071,5028
04072,19467
04073,17052
04074,19647
04076,2826
04079,4054
04083,4766
04084,8470
04085,1870
04086,8927
04087,2228
04088,1519
04090,10100
04091,954
04092,18343
04093,8462
04095,1341
04096,8744
04097,3743
04101,18042
04102,18155
04103,32054
04105,11686
04106,26366
04107,9404
04108,902
04109,97
04110,1456
04210,23168
04216,641
04217,3320
04219,1475
04220,3084
04221,1100
04222,3868
04224,3035
04226,190
04227,79
04228,6
04231,236
04234,164
04236,4373
04237,238
04238,1419
04239,4761
04240,36787
04250,4250
04252,4824
04253,2106
04254,3197
04255,803
04256,3080
04257,2687
04258,2630
04259,3268
04260,5804
04261,445
04263,2338
04265,919
04267,37
04268,5035
04270,5894
04271,67
04274,5371
04275,515
04276,5855
04280,6508
04281,5128
04282,5764
04284,1139
04285,424
04286,47
04287,3275
04289,1819
04290,1544
04292,950
04294,3921
04330,26118
04342,1680
04343,25
04344,2954
04345,11660
04346,1774
04347,2357
04348,2991
04349,1159
04350,3581
04351,2574
04352,1634
04353,2311
04354,1571
04355,2603
04357,3453
04358,4281
04359,388
04360,560
04363,2578
04364,6032
04401,44381
04406,783
04408,177
04410,1275
04411,1474
04412,9372
04413,187
04414,1194
04415,264
04416,5525
04417,365
04418,1750
04419,2761
04421,1380
04422,1392
04424,780
04426,4518
04427,2825
04428,3109
04429,4698
04430,1708
04431,81
04434,1231
04435,1079
04438,1150
04441,1761
04442,89
04443,2428
04444,8722
04448,1414
04449,1471
04450,1352
04451,251
04453,770
04454,65
04455,912
04456,2818
04457,5879
04459,759
04460,1401
04461,3034
04462,4777
04463,2725
04464,654
04468,9411
04469,2670
04471,568
04472,2166
04473,7571
04474,3689
04475,413
04476,1272
04478,305
04479,1285
04481,535
04485,223
04487,952
04488,1188
04489,194
04490,260
04491,133
04492,158
04493,1944
04495,402
04496,3846
04497,365
04530,10990
04535,712
