safegraph_brand_id,brand_name,parent_safegraph_brand_id,naics_code,top_category,sub_category,stock_symbol,stock_exchange
SG_BRAND_a5fbcaa336dd9228,AC Hotel,SG_BRAND_02f92da3a9b57d43,721110,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,MAR,NASDAQ
SG_BRAND_2d558e88d5b55b08,Academy Bank,"",522110,Depository Credit Intermediation,Commercial Banking,"",""
SG_BRAND_cebb2b4363445dce8031918685aab2c4,Academy Sports + Outdoors,"",451110,"Sporting Goods, Hobby, and Musical Instrument Stores",Sporting Goods Stores,"",""
SG_BRAND_f274acd790fdf9e91eedb14c2ce66e11,Acapulco Restaurants,"",722511,Restaurants and Other Eating Places,Full-Service Restaurants,"",""
SG_BRAND_31cabebc80ebf4ee0e6c96bbad491f06,Acceptance Insurance,"",524210,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,FACO,OTCMKTS
SG_BRAND_2f3a1f2057560021,Access Dental,"",621210,Offices of Dentists,Offices of Dentists,"",""
SG_BRAND_09eb0b80506fefcc9e069d143c97af4e,AccuQuest Hearing Centers,"",446199,Health and Personal Care Stores,All Other Health and Personal Care Stores,"",""
SG_BRAND_55ec81055d66b1a5c2f693401a8bd2b4,ACDelco,SG_BRAND_09fcf13a3339566e,336390,Motor Vehicle Parts Manufacturing,Other Motor Vehicle Parts Manufacturing,GM,NYSE
SG_BRAND_1f80a87e178e0d5e04c8217210b2b9cb,ACE Cash Express,"",522390,Activities Related to Credit Intermediation,Other Activities Related to Credit Intermediation,AACE,NASDAQ
SG_BRAND_0042ddcf1dfda78309cac2609a8e56e0,Ace Hardware,"",444130,Building Material and Supplies Dealers,Hardware Stores,"",""
SG_BRAND_7008731995577bc3,Ace Hotel,"",721110,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,"",""
SG_BRAND_3bbe733ca58f4f40,Ace Rent-To-Own,"",443141,Electronics and Appliance Stores,Household Appliance Stores,"",""
SG_BRAND_913be21441c343ce4a75490b2aff0261,Acelero Learning,"",624410,Child Day Care Services,Child Day Care Services,"",""
SG_BRAND_227fbb906a299b8c,Acme Fresh Market,"",445110,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"",""
SG_BRAND_fae25d7f7192889e606c10c2b1a20adb,Acme Markets,SG_BRAND_942c238b1dddf5d40a05dbad6851b58b,445110,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"",""
SG_BRAND_1fe6c9cdcfd75b8fb8270e90a899b5c6,Acme Tools,"",423710,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",Hardware Merchant Wholesalers,"",""
SG_BRAND_a451a05b35c501a2b6515f696b992e6d,ACO Hardware,"",444130,Building Material and Supplies Dealers,Hardware Stores,"",""
SG_BRAND_5c802af4a870afe9,Acorn Markets,"",445110,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"",""
SG_BRAND_74773d9621a1f10780471b0f1894dd4f,Action Day Primary Plus,"",611110,Elementary and Secondary Schools,Elementary and Secondary Schools,"",""
SG_BRAND_2e786020370e513f,Action Karate,"",713940,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,"",""
SG_BRAND_1392d90368aedca08af9cd73f30c06f2,Acura,SG_BRAND_8e9a1a96135cddd8,441110,Automobile Dealers,New Car Dealers,HMC,NYSE
SG_BRAND_1e6d3ebea02faae3,Adagio Teas,"",722410,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),"",""
SG_BRAND_70ff92a4441ae8d6,Adam's Hometown Market,"",445110,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"",""
SG_BRAND_2b91f1285d21960f,Adams Drugs,"",446110,Health and Personal Care Stores,Pharmacies and Drug Stores,"",""
SG_BRAND_6c45f33124a9a9ee,Addition Elle,SG_BRAND_1e8a4bf699e898be,448120,Clothing Stores,Women's Clothing Stores,RET.A,TSE
SG_BRAND_2b7ffb4504ed949560cfa8ac5f346cf6,Adecco,"",561311,Employment Services,Employment Placement Agencies,"",""
SG_BRAND_4db6adde7999319bfb67bee86942f8e9,Adidas,"",448210,Shoe Stores,Shoe Stores,ADDYY,OTCMKTS
SG_BRAND_195f1c5a12a7b06d,Adirondack Trust Company,"",522110,Depository Credit Intermediation,Commercial Banking,ADKT,OTCMKTS
SG_BRAND_dc0bbdb488807ce,Advance America,"",522291,Nondepository Credit Intermediation,Consumer Lending,"",""
SG_BRAND_f6690ed6fac1b97d75d2ea16f2eb0e6d,Advance Auto Parts,"",441310,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,AAP,NYSE
SG_BRAND_d916dbf73e3f5319ef65924990f1babf,Advanced Building Products,SG_BRAND_b8d39d16c717bf799df8e4fa60255deb,444190,Building Material and Supplies Dealers,Other Building Material Dealers,"",""
SG_BRAND_ffcf5315f4ba9b125c3307d8418f8d21,Advanced Radiology,"",621511,Medical and Diagnostic Laboratories,Medical Laboratories,"",""
SG_BRAND_2ff9e046aa80438dc89f7a77e428ce10,Advantage Rent A Car,"",532111,Automotive Equipment Rental and Leasing,Passenger Car Rental,"",""
SG_BRAND_c7436c4a31a1f53a,AdventHealth Centra Care,"",621111,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"",""
SG_BRAND_11a39d057ffd22289fad8e73895aab0b,Adventist Health System,"",813212,Grantmaking and Giving Services,Voluntary Health Organizations,"",""
SG_BRAND_76a6c4298e548305,Adventure Dental And Vision,"",621210,Offices of Dentists,Offices of Dentists,"",""
SG_BRAND_cc0a6aec28510b3c,Adventure Island,SG_BRAND_5a8c6560d880a0ce,713110,Amusement Parks and Arcades,Amusement and Theme Parks,SEAS,NYSE
SG_BRAND_7d3d756f6ab4c311,Adventure Landing,"",713110,Amusement Parks and Arcades,Amusement and Theme Parks,"",""
SG_BRAND_2aecf74a4fca848d,Advocate Health,"",621111,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"",""
SG_BRAND_f3acb89e9a6bbccca1f502417ed86473,AERA Engine Builders Association,"",813910,"Business, Professional, Labor, Political, and Similar Organizations",Business Associations,"",""
SG_BRAND_ed45067a557a14cf,aerie,SG_BRAND_95a1de80f566759aafdc2a957a76de5a,448120,Clothing Stores,Women's Clothing Stores,AEO,NYSE
SG_BRAND_3bc902230be0f2e3,Aerosports Trampoline Park,"",713990,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,"",""
SG_BRAND_c7116409a864ba3e7de36e1b6af828f2,Aerotek,"",561311,Employment Services,Employment Placement Agencies,"",""
SG_BRAND_3306c5c2ad7478dd,Affinia Hotel & Suites,SG_BRAND_771bff5c64b07d46,721110,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,"",""
SG_BRAND_9a365a7eb3a9372db79503c93542a80a,Affordable Dental Care,"",621210,Offices of Dentists,Offices of Dentists,"",""
SG_BRAND_2f710d01fd2710d87d8fae13eaf3d133,Affordable Dentures,"",621210,Offices of Dentists,Offices of Dentists,"",""
SG_BRAND_32136f606c3d1c4d1be6905f268339a6,Affordable Home Furnishings,"",532289,Consumer Goods Rental,All Other Consumer Goods Rental,"",""
SG_BRAND_3f0b62787ceada5594a084e88094450e,Affordable Insurance Agency,"",524210,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,"",""
SG_BRAND_a7de75bd0dab5cf7bbede566d05ad676,Afirme Mexico,"",522110,Depository Credit Intermediation,Commercial Banking,"",""
SG_BRAND_b385d14787f0b2727d480270415a68ba,AG Jeans,"",448140,Clothing Stores,Family Clothing Stores,"",""
SG_BRAND_5959fcd790c7fdf8,Against All Odds,"",451110,"Sporting Goods, Hobby, and Musical Instrument Stores",Sporting Goods Stores,"",""
SG_BRAND_8311e1795d2e1b27c096b2994bbbbb08,AGCO,"",423820,"Machinery, Equipment, and Supplies Merchant Wholesalers",Farm and Garden Machinery and Equipment Merchant Wholesalers,AGCO,NYSE
SG_BRAND_30a1d306114e84e9,Agent Provocateur,"",448190,Clothing Stores,Other Clothing Stores,"",""
SG_BRAND_617aef18ff54ba7c,Aglamesis Bros Ice Cream,"",722515,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,"",""
SG_BRAND_8f86954eaa7c5e93a82ebbb4bf5d38db,Agland Co-op,"",813990,"Business, Professional, Labor, Political, and Similar Organizations","Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","",""
SG_BRAND_973e35296eaa9cbf071097ff29dae70d,Agri Supply,"",423820,"Machinery, Equipment, and Supplies Merchant Wholesalers",Farm and Garden Machinery and Equipment Merchant Wholesalers,"",""
SG_BRAND_09a477890bf86c70502cd1005f642d36,Agway,SG_BRAND_b171fe50c25853ab56e1f134afc569ac,444220,Lawn and Garden Equipment and Supplies Stores,"Nursery, Garden Center, and Farm Supply Stores","",""
SG_BRAND_4a1b28630dbe4e5fcc7664005a06ed2c,Ahern Rentals,"",532412,Commercial and Industrial Machinery and Equipment Rental and Leasing,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing","",""
SG_BRAND_e5919360e313d7e4,Ahold Delhaize,"",445110,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"",""
SG_BRAND_b92265c50f53d19c9ff7d51de8b19ae6,AIM Mail Centers,"",561431,Business Support Services,Private Mail Centers,"",""
SG_BRAND_f65a7f441703711f95020392584b87f8,Aio Wireless,"",811219,Electronic and Precision Equipment Repair and Maintenance,Other Electronic and Precision Equipment Repair and Maintenance,"",""
SG_BRAND_178667c7fe5b931f,Air Time,"",713990,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,"",""
SG_BRAND_12a001aa50a4e145,Air U Trampoline Park,"",713990,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,"",""
SG_BRAND_29acc421f7cb3a4b,Airborne,"",713990,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,"",""
